downloadId,eulaCode,url,downloadEntity,entityType
367953577,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20220921_20221002_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NzcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHRxT2JxUm9IdklheDI3WWdTZ3pXRWIweXNOem5PVDB6SzRXM3NXZ2xSNi4ifQ==,LC08_CU_028007_20220921_20221002_02,ST
367953579,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20220921_20221002_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NzksImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFN5cUJ6QmNOWWtQVkFkYkpKV3VBZXpCZzQzMm1TU3VhN0NmeGVSNGpqZkQifQ==,LC08_CU_028007_20220921_20221002_02,TOA
367953580,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20220921_20221002_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODAsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEg1RWJwQ0tRUlVTS1lYVFJta2dianhDdHVHV3BnNTI5dHRBeFwvaHREMmYwIn0=,LC08_CU_028007_20220921_20221002_02,BT
367953581,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221108_20221118_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODEsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGRkMXNQdzV3TkVoU2lSXC93TzUxd25VVTdYNnRQSDVySXk5MjJjSzhZMGY5In0=,LC08_CU_028007_20221108_20221118_02,QA
367953582,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221108_20221118_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODIsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJG1nV3FjSDVyUi5BWENjQlM2N1RTaktHakI1QlQzaENyWm5sLlk5LmdBcjYifQ==,LC08_CU_028007_20221108_20221118_02,MTL
367953583,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221108_20221118_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODMsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHZtbDJOZmdzR2djUTlZWlI0REJVRzBFQ0hTZm5Zb1pRakJPS29oVWtLMUQifQ==,LC08_CU_028007_20221108_20221118_02,SR
367953584,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221108_20221118_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODQsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFVPQkl2UFV0QmhCdlExM0ZZMWMxNERzaTZDNGJER1l3ZG9CeUVucGhMSDMifQ==,LC08_CU_028007_20221108_20221118_02,ST
367953585,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221108_20221118_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDJ1QVVFb0YuV081QUFnakkxd1NnN09PVTJcL1luZkRHN1wvakZGSVBNUDNDXC8ifQ==,LC08_CU_028007_20221108_20221118_02,TOA
367953586,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221108_20221118_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFIxZEw5amhPLksuYWhlS3dhZzQ2YTNEZ2R1cEpoTHpqTFwvcTJJa09QMjU3In0=,LC08_CU_028007_20221108_20221118_02,BT
367953587,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221210_20221223_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDRjQ0JUOUtWZXJlMVpvdmdaajNkSnJIY3VJemo4OW9cL0FkZ0hEak1DdFg5In0=,LC08_CU_028007_20221210_20221223_02,QA
